r	tr	gr	"sl,r"	"su,r"
1	2.589583333	2.74	0.63	0.53
2	7.635416667	2.83	0.75	0.62
3	12.43784722	2.3	0.53	0.45
4	17.58090278	1.79	0.55	0.44
5	22.49236111	3.15	0.74	0.61
6	27.71215278	1.72	0.5	0.4
7	32.72326389	2.96	0.61	0.51
8	37.49722222	2.1	0.53	0.44
9	42.39236111	1.31	0.7	0.57
10	47.34791667	2.94	0.58	0.5
11	52.35416667	2.48	0.54	0.45
12	58.00555556	2.05	0.43	0.37
13	63.72569444	1.62	0.58	0.45
14	68.40381944	2.45	0.55	0.46
15	73.80972222	1.96	0.73	0.57
16	78.525	2.55	0.57	0.48
17	83.62777778	2.89	0.57	0.49
18	89.24340278	2.63	0.61	0.5
19	99.60868056	2.01	0.46	0.39
20	104.6038194	1.69	0.53	0.43
21	109.4003472	1.7	0.49	0.4
22	114.4975694	2.28	0.49	0.42
23	119.6381944	2.68	0.52	0.45
24	124.5711806	3.31	0.6	0.51
25	129.5677083	1.75	0.48	0.39
26	134.7069444	1	0.41	0.33
27	139.8569444	2.39	0.5	0.42
28	144.928125	2.55	0.52	0.44
29	149.6545139	2.28	0.54	0.45
30	154.9090278	2.73	0.46	0.39
31	160.80625	2.62	0.45	0.39
32	165.9048611	1.98	0.55	0.44
33	170.6944444	2.55	0.52	0.44
34	175.9072917	1.69	0.46	0.37
35	180.6684028	1.35	0.45	0.36
36	185.7260417	2.02	0.47	0.39
37	190.85	1.87	0.49	0.4
38	195.9284722	2.35	0.58	0.48
39	201.1347222	2.43	0.58	0.49
40	205.8618056	2.52	0.51	0.43
41	211.1024306	2.09	0.44	0.36
42	216.7114583	2.27	0.47	0.4
43	221.9097222	3.12	0.54	0.47
44	226.634375	2.12	0.58	0.47
45	231.5458333	1.95	0.54	0.45
46	236.9486111	2.53	0.53	0.45
47	242.2704861	2.33	0.46	0.4
48	247.6951389	2.85	0.5	0.43
49	252.8569444	2.4	0.47	0.4
50	257.7177083	2.45	0.55	0.46
51	262.5597222	2.15	0.55	0.46
52	267.5493056	2.27	0.53	0.45
53	271.8635417	1.78	0.49	0.4
54	275.9583333	2.19	0.5	0.42
55	280.8875	2.7	0.61	0.5
56	285.9895833	2.37	0.45	0.38
57	290.834375	2.51	0.56	0.47
58	295.5392361	2.03	0.49	0.41
59	301.1847222	2.03	0.43	0.36
60	307.0246528	2.63	0.52	0.45
61	311.6538194	1.65	0.47	0.38
62	316.5121528	2.61	0.52	0.45
63	321.5388889	2.21	0.57	0.48
64	326.4659722	3.2	0.83	0.67
65	331.3447917	2.26	0.68	0.54
66	336.6479167	2.59	0.5	0.43
67	341.7131944	1.69	0.48	0.39
68	346.5927083	2.86	0.51	0.44
69	351.5166667	2.05	0.5	0.41
70	356.5166667	2.14	0.55	0.45
71	362.1239583	2.25	0.53	0.43
72	367.5340278	1.82	0.92	0.63
73	372.4871528	2.69	0.53	0.46
74	377.49375	1.69	0.47	0.39
75	382.6847222	2.72	0.51	0.44
76	387.7315972	2.54	0.5	0.44
77	392.5267361	2.89	0.61	0.52
78	397.3909722	1.84	0.48	0.41
79	402.5052083	2.07	0.46	0.4
80	407.6836806	1.34	0.41	0.35
81	412.7951389	3.11	0.51	0.45
82	417.6819444	1.94	0.57	0.48
83	422.9361111	2.83	0.51	0.44
84	428.3461806	2.28	0.45	0.38
85	433.4409722	2.34	0.46	0.4
86	438.559375	2.43	0.56	0.48
87	443.7472222	1.79	0.42	0.36
88	449.0364583	2.25	0.46	0.41
89	454.5034722	2.68	0.44	0.39
90	459.909375	1.34	0.47	0.4
91	464.7354167	2.11	0.6	0.49
92	469.8673611	2.12	0.61	0.51
93	489.5524306	2.71	0.89	0.7
94	494.9364583	2.25	0.71	0.55
95	500.0635417	2.01	0.53	0.44
96	505.04375	2.06	0.7	0.56
97	510.0645833	4.26	0.98	0.81
98	514.9913194	2.54	0.46	0.4
99	520.4128472	1.74	0.39	0.33
100	525.9989583	1.5	0.38	0.32
101	531.0381944	2.66	0.5	0.43
102	536.0079861	2.91	0.54	0.46
103	540.7361111	3.06	0.6	0.52
104	545.3864583	2.23	0.51	0.43
